TestID,Reading,QuestionID,Question,CorrectAnswer,MaxScore
1,"Sarah’s Life in Canada

Sarah is 36 years old, and she lives in Canada. She has two young daughters. She works two days a week as a teacher. Her husband’s name is Nathan, and he’s a sales manager. Nathan’s job is very busy, so he often comes home late. At weekends, they often go driving or walking in the countryside.
Nathan was born in Canada, but Sarah wasn’t. She was born in Argentina, and she moved to Canada when she was 26. When she was growing up, she was really interested in English. At first, she thought it was difficult, but when she finished school, she could already speak quite fluently and understand almost everything she heard or read. She spent a lot of time listening to songs and watching TV shows and films in English.

After she graduated from university, she decided to train as an English teacher. The certificate she needed was quite expensive, and competition for places was intense, but she was determined to do it—she simply couldn’t imagine doing anything else. She finished the course with a distinction, which was the highest grade possible. Soon, she found work as a teaching assistant in a local primary school. She enjoyed the work, although it was often challenging—the children were not always well-disciplined, and she didn’t think that the classroom teacher had enough understanding of teaching methods.

When she first went to Canada, she never would have imagined that she would end up staying there. It was supposed to be a short-term placement in a high school. She thought that she would be able to see a different part of the world and gain some useful experience, which could help her to find a better teaching position when she came back to Argentina. At first, she found living overseas much more difficult than she had expected. She felt homesick, and she had problems getting used to everything which was different in Canada—the interpersonal culture, the climate, the food… For the first three months she was there, she spent most of her free time in her room, dreaming of going back to Argentina and seeing her family again.

Over time, she adjusted to life in Canada, and even started to enjoy herself a bit more. One day, she met Nathan at a party. She liked his sense of humour, and how kind he was, but she was reluctant to get involved, knowing that she was planning to leave in the near future. When her placement finished, he convinced her to apply for a permanent job in another school. She told herself that she would give it one more year and see how things went.

Now, Sarah is settled, although she still misses Argentina. She tries to make it back at least yearly, and she is bringing up her daughters to be bilingual, so that they can talk to their Argentinian relatives in Spanish. When she thinks back to her first few months in Canada, she can scarcely recognise herself. In some ways, she wishes she weren’t so far away from her family, but at the same time, she feels that she’s learned many things which she never would have experienced had she stayed in Argentina. She wants to give her daughters the chance to travel and experience life in other countries as soon as she can, although of course she hopes they don’t move too far away!",1,"1. Sarah’s feelings about her first job were ________.
A. negative
B. unclear
C. positive
D. mixed",D,5
1,"Sarah’s Life in Canada

Sarah is 36 years old, and she lives in Canada. She has two young daughters. She works two days a week as a teacher. Her husband’s name is Nathan, and he’s a sales manager. Nathan’s job is very busy, so he often comes home late. At weekends, they often go driving or walking in the countryside.
Nathan was born in Canada, but Sarah wasn’t. She was born in Argentina, and she moved to Canada when she was 26. When she was growing up, she was really interested in English. At first, she thought it was difficult, but when she finished school, she could already speak quite fluently and understand almost everything she heard or read. She spent a lot of time listening to songs and watching TV shows and films in English.

After she graduated from university, she decided to train as an English teacher. The certificate she needed was quite expensive, and competition for places was intense, but she was determined to do it—she simply couldn’t imagine doing anything else. She finished the course with a distinction, which was the highest grade possible. Soon, she found work as a teaching assistant in a local primary school. She enjoyed the work, although it was often challenging—the children were not always well-disciplined, and she didn’t think that the classroom teacher had enough understanding of teaching methods.

When she first went to Canada, she never would have imagined that she would end up staying there. It was supposed to be a short-term placement in a high school. She thought that she would be able to see a different part of the world and gain some useful experience, which could help her to find a better teaching position when she came back to Argentina. At first, she found living overseas much more difficult than she had expected. She felt homesick, and she had problems getting used to everything which was different in Canada—the interpersonal culture, the climate, the food… For the first three months she was there, she spent most of her free time in her room, dreaming of going back to Argentina and seeing her family again.

Over time, she adjusted to life in Canada, and even started to enjoy herself a bit more. One day, she met Nathan at a party. She liked his sense of humour, and how kind he was, but she was reluctant to get involved, knowing that she was planning to leave in the near future. When her placement finished, he convinced her to apply for a permanent job in another school. She told herself that she would give it one more year and see how things went.

Now, Sarah is settled, although she still misses Argentina. She tries to make it back at least yearly, and she is bringing up her daughters to be bilingual, so that they can talk to their Argentinian relatives in Spanish. When she thinks back to her first few months in Canada, she can scarcely recognise herself. In some ways, she wishes she weren’t so far away from her family, but at the same time, she feels that she’s learned many things which she never would have experienced had she stayed in Argentina. She wants to give her daughters the chance to travel and experience life in other countries as soon as she can, although of course she hopes they don’t move too far away!",2,"2. When Sarah went to Canada, she thought ________.
A.  she would enjoy living in Canada.
B.  she would find a job as a high school teacher.
C.  she would stay in Canada for a long time.
D.  she would come back to Argentina again after a short stay",D,5
1,"Sarah’s Life in Canada

Sarah is 36 years old, and she lives in Canada. She has two young daughters. She works two days a week as a teacher. Her husband’s name is Nathan, and he’s a sales manager. Nathan’s job is very busy, so he often comes home late. At weekends, they often go driving or walking in the countryside.
Nathan was born in Canada, but Sarah wasn’t. She was born in Argentina, and she moved to Canada when she was 26. When she was growing up, she was really interested in English. At first, she thought it was difficult, but when she finished school, she could already speak quite fluently and understand almost everything she heard or read. She spent a lot of time listening to songs and watching TV shows and films in English.

After she graduated from university, she decided to train as an English teacher. The certificate she needed was quite expensive, and competition for places was intense, but she was determined to do it—she simply couldn’t imagine doing anything else. She finished the course with a distinction, which was the highest grade possible. Soon, she found work as a teaching assistant in a local primary school. She enjoyed the work, although it was often challenging—the children were not always well-disciplined, and she didn’t think that the classroom teacher had enough understanding of teaching methods.

When she first went to Canada, she never would have imagined that she would end up staying there. It was supposed to be a short-term placement in a high school. She thought that she would be able to see a different part of the world and gain some useful experience, which could help her to find a better teaching position when she came back to Argentina. At first, she found living overseas much more difficult than she had expected. She felt homesick, and she had problems getting used to everything which was different in Canada—the interpersonal culture, the climate, the food… For the first three months she was there, she spent most of her free time in her room, dreaming of going back to Argentina and seeing her family again.

Over time, she adjusted to life in Canada, and even started to enjoy herself a bit more. One day, she met Nathan at a party. She liked his sense of humour, and how kind he was, but she was reluctant to get involved, knowing that she was planning to leave in the near future. When her placement finished, he convinced her to apply for a permanent job in another school. She told herself that she would give it one more year and see how things went.

Now, Sarah is settled, although she still misses Argentina. She tries to make it back at least yearly, and she is bringing up her daughters to be bilingual, so that they can talk to their Argentinian relatives in Spanish. When she thinks back to her first few months in Canada, she can scarcely recognise herself. In some ways, she wishes she weren’t so far away from her family, but at the same time, she feels that she’s learned many things which she never would have experienced had she stayed in Argentina. She wants to give her daughters the chance to travel and experience life in other countries as soon as she can, although of course she hopes they don’t move too far away!",3,"3. The children in Sarah’s first job ________.
A.  didn't learn anything
B.  didn't always behave well in class
C.  didn't understand what she was saying
D.  were often rude to her",B,5
1,"Sarah’s Life in Canada

Sarah is 36 years old, and she lives in Canada. She has two young daughters. She works two days a week as a teacher. Her husband’s name is Nathan, and he’s a sales manager. Nathan’s job is very busy, so he often comes home late. At weekends, they often go driving or walking in the countryside.
Nathan was born in Canada, but Sarah wasn’t. She was born in Argentina, and she moved to Canada when she was 26. When she was growing up, she was really interested in English. At first, she thought it was difficult, but when she finished school, she could already speak quite fluently and understand almost everything she heard or read. She spent a lot of time listening to songs and watching TV shows and films in English.

After she graduated from university, she decided to train as an English teacher. The certificate she needed was quite expensive, and competition for places was intense, but she was determined to do it—she simply couldn’t imagine doing anything else. She finished the course with a distinction, which was the highest grade possible. Soon, she found work as a teaching assistant in a local primary school. She enjoyed the work, although it was often challenging—the children were not always well-disciplined, and she didn’t think that the classroom teacher had enough understanding of teaching methods.

When she first went to Canada, she never would have imagined that she would end up staying there. It was supposed to be a short-term placement in a high school. She thought that she would be able to see a different part of the world and gain some useful experience, which could help her to find a better teaching position when she came back to Argentina. At first, she found living overseas much more difficult than she had expected. She felt homesick, and she had problems getting used to everything which was different in Canada—the interpersonal culture, the climate, the food… For the first three months she was there, she spent most of her free time in her room, dreaming of going back to Argentina and seeing her family again.

Over time, she adjusted to life in Canada, and even started to enjoy herself a bit more. One day, she met Nathan at a party. She liked his sense of humour, and how kind he was, but she was reluctant to get involved, knowing that she was planning to leave in the near future. When her placement finished, he convinced her to apply for a permanent job in another school. She told herself that she would give it one more year and see how things went.

Now, Sarah is settled, although she still misses Argentina. She tries to make it back at least yearly, and she is bringing up her daughters to be bilingual, so that they can talk to their Argentinian relatives in Spanish. When she thinks back to her first few months in Canada, she can scarcely recognise herself. In some ways, she wishes she weren’t so far away from her family, but at the same time, she feels that she’s learned many things which she never would have experienced had she stayed in Argentina. She wants to give her daughters the chance to travel and experience life in other countries as soon as she can, although of course she hopes they don’t move too far away!",4,"4. Which sentence best describes Sarah’s attitude now towards her decision to stay in Canada?
A.  She isn't sure. She thinks that it's impossible to say whether it was the right choice for her or not.
B.  She regrets her decision, because she feels homesick and misses her family all the time.
C.  She wouldn't change her decision, although she still finds it hard to be so far from her family.
D.  She wishes she had come to Canada earlier, because she doesn't feel that there was anything for her in Argentina.",C,5
1,"Sarah’s Life in Canada

Sarah is 36 years old, and she lives in Canada. She has two young daughters. She works two days a week as a teacher. Her husband’s name is Nathan, and he’s a sales manager. Nathan’s job is very busy, so he often comes home late. At weekends, they often go driving or walking in the countryside.
Nathan was born in Canada, but Sarah wasn’t. She was born in Argentina, and she moved to Canada when she was 26. When she was growing up, she was really interested in English. At first, she thought it was difficult, but when she finished school, she could already speak quite fluently and understand almost everything she heard or read. She spent a lot of time listening to songs and watching TV shows and films in English.

After she graduated from university, she decided to train as an English teacher. The certificate she needed was quite expensive, and competition for places was intense, but she was determined to do it—she simply couldn’t imagine doing anything else. She finished the course with a distinction, which was the highest grade possible. Soon, she found work as a teaching assistant in a local primary school. She enjoyed the work, although it was often challenging—the children were not always well-disciplined, and she didn’t think that the classroom teacher had enough understanding of teaching methods.

When she first went to Canada, she never would have imagined that she would end up staying there. It was supposed to be a short-term placement in a high school. She thought that she would be able to see a different part of the world and gain some useful experience, which could help her to find a better teaching position when she came back to Argentina. At first, she found living overseas much more difficult than she had expected. She felt homesick, and she had problems getting used to everything which was different in Canada—the interpersonal culture, the climate, the food… For the first three months she was there, she spent most of her free time in her room, dreaming of going back to Argentina and seeing her family again.

Over time, she adjusted to life in Canada, and even started to enjoy herself a bit more. One day, she met Nathan at a party. She liked his sense of humour, and how kind he was, but she was reluctant to get involved, knowing that she was planning to leave in the near future. When her placement finished, he convinced her to apply for a permanent job in another school. She told herself that she would give it one more year and see how things went.

Now, Sarah is settled, although she still misses Argentina. She tries to make it back at least yearly, and she is bringing up her daughters to be bilingual, so that they can talk to their Argentinian relatives in Spanish. When she thinks back to her first few months in Canada, she can scarcely recognise herself. In some ways, she wishes she weren’t so far away from her family, but at the same time, she feels that she’s learned many things which she never would have experienced had she stayed in Argentina. She wants to give her daughters the chance to travel and experience life in other countries as soon as she can, although of course she hopes they don’t move too far away!",5,"5. Sarah decided to train as an English teacher because ________.
A. she wanted to travel.
B. she didn't know what else to do.
C. it was the only thing she was really interested in.
D. she thought she could get a good job",C,5
1,"Sarah’s Life in Canada

Sarah is 36 years old, and she lives in Canada. She has two young daughters. She works two days a week as a teacher. Her husband’s name is Nathan, and he’s a sales manager. Nathan’s job is very busy, so he often comes home late. At weekends, they often go driving or walking in the countryside.
Nathan was born in Canada, but Sarah wasn’t. She was born in Argentina, and she moved to Canada when she was 26. When she was growing up, she was really interested in English. At first, she thought it was difficult, but when she finished school, she could already speak quite fluently and understand almost everything she heard or read. She spent a lot of time listening to songs and watching TV shows and films in English.

After she graduated from university, she decided to train as an English teacher. The certificate she needed was quite expensive, and competition for places was intense, but she was determined to do it—she simply couldn’t imagine doing anything else. She finished the course with a distinction, which was the highest grade possible. Soon, she found work as a teaching assistant in a local primary school. She enjoyed the work, although it was often challenging—the children were not always well-disciplined, and she didn’t think that the classroom teacher had enough understanding of teaching methods.

When she first went to Canada, she never would have imagined that she would end up staying there. It was supposed to be a short-term placement in a high school. She thought that she would be able to see a different part of the world and gain some useful experience, which could help her to find a better teaching position when she came back to Argentina. At first, she found living overseas much more difficult than she had expected. She felt homesick, and she had problems getting used to everything which was different in Canada—the interpersonal culture, the climate, the food… For the first three months she was there, she spent most of her free time in her room, dreaming of going back to Argentina and seeing her family again.

Over time, she adjusted to life in Canada, and even started to enjoy herself a bit more. One day, she met Nathan at a party. She liked his sense of humour, and how kind he was, but she was reluctant to get involved, knowing that she was planning to leave in the near future. When her placement finished, he convinced her to apply for a permanent job in another school. She told herself that she would give it one more year and see how things went.

Now, Sarah is settled, although she still misses Argentina. She tries to make it back at least yearly, and she is bringing up her daughters to be bilingual, so that they can talk to their Argentinian relatives in Spanish. When she thinks back to her first few months in Canada, she can scarcely recognise herself. In some ways, she wishes she weren’t so far away from her family, but at the same time, she feels that she’s learned many things which she never would have experienced had she stayed in Argentina. She wants to give her daughters the chance to travel and experience life in other countries as soon as she can, although of course she hopes they don’t move too far away!",6,"6. When she left school, her English was ________.
A.  Perfect
B.  very bad
C.  not very good
D. very good",D,5
1,"Sarah’s Life in Canada

Sarah is 36 years old, and she lives in Canada. She has two young daughters. She works two days a week as a teacher. Her husband’s name is Nathan, and he’s a sales manager. Nathan’s job is very busy, so he often comes home late. At weekends, they often go driving or walking in the countryside.
Nathan was born in Canada, but Sarah wasn’t. She was born in Argentina, and she moved to Canada when she was 26. When she was growing up, she was really interested in English. At first, she thought it was difficult, but when she finished school, she could already speak quite fluently and understand almost everything she heard or read. She spent a lot of time listening to songs and watching TV shows and films in English.

After she graduated from university, she decided to train as an English teacher. The certificate she needed was quite expensive, and competition for places was intense, but she was determined to do it—she simply couldn’t imagine doing anything else. She finished the course with a distinction, which was the highest grade possible. Soon, she found work as a teaching assistant in a local primary school. She enjoyed the work, although it was often challenging—the children were not always well-disciplined, and she didn’t think that the classroom teacher had enough understanding of teaching methods.

When she first went to Canada, she never would have imagined that she would end up staying there. It was supposed to be a short-term placement in a high school. She thought that she would be able to see a different part of the world and gain some useful experience, which could help her to find a better teaching position when she came back to Argentina. At first, she found living overseas much more difficult than she had expected. She felt homesick, and she had problems getting used to everything which was different in Canada—the interpersonal culture, the climate, the food… For the first three months she was there, she spent most of her free time in her room, dreaming of going back to Argentina and seeing her family again.

Over time, she adjusted to life in Canada, and even started to enjoy herself a bit more. One day, she met Nathan at a party. She liked his sense of humour, and how kind he was, but she was reluctant to get involved, knowing that she was planning to leave in the near future. When her placement finished, he convinced her to apply for a permanent job in another school. She told herself that she would give it one more year and see how things went.

Now, Sarah is settled, although she still misses Argentina. She tries to make it back at least yearly, and she is bringing up her daughters to be bilingual, so that they can talk to their Argentinian relatives in Spanish. When she thinks back to her first few months in Canada, she can scarcely recognise herself. In some ways, she wishes she weren’t so far away from her family, but at the same time, she feels that she’s learned many things which she never would have experienced had she stayed in Argentina. She wants to give her daughters the chance to travel and experience life in other countries as soon as she can, although of course she hopes they don’t move too far away!",7,"7. During her first few months in Canada, Sarah ________.
A. made lots of new friends
B. had to work very hard
C. didn't socialise much
D. met Nathan",C,5
1,"Sarah’s Life in Canada

Sarah is 36 years old, and she lives in Canada. She has two young daughters. She works two days a week as a teacher. Her husband’s name is Nathan, and he’s a sales manager. Nathan’s job is very busy, so he often comes home late. At weekends, they often go driving or walking in the countryside.
Nathan was born in Canada, but Sarah wasn’t. She was born in Argentina, and she moved to Canada when she was 26. When she was growing up, she was really interested in English. At first, she thought it was difficult, but when she finished school, she could already speak quite fluently and understand almost everything she heard or read. She spent a lot of time listening to songs and watching TV shows and films in English.

After she graduated from university, she decided to train as an English teacher. The certificate she needed was quite expensive, and competition for places was intense, but she was determined to do it—she simply couldn’t imagine doing anything else. She finished the course with a distinction, which was the highest grade possible. Soon, she found work as a teaching assistant in a local primary school. She enjoyed the work, although it was often challenging—the children were not always well-disciplined, and she didn’t think that the classroom teacher had enough understanding of teaching methods.

When she first went to Canada, she never would have imagined that she would end up staying there. It was supposed to be a short-term placement in a high school. She thought that she would be able to see a different part of the world and gain some useful experience, which could help her to find a better teaching position when she came back to Argentina. At first, she found living overseas much more difficult than she had expected. She felt homesick, and she had problems getting used to everything which was different in Canada—the interpersonal culture, the climate, the food… For the first three months she was there, she spent most of her free time in her room, dreaming of going back to Argentina and seeing her family again.

Over time, she adjusted to life in Canada, and even started to enjoy herself a bit more. One day, she met Nathan at a party. She liked his sense of humour, and how kind he was, but she was reluctant to get involved, knowing that she was planning to leave in the near future. When her placement finished, he convinced her to apply for a permanent job in another school. She told herself that she would give it one more year and see how things went.

Now, Sarah is settled, although she still misses Argentina. She tries to make it back at least yearly, and she is bringing up her daughters to be bilingual, so that they can talk to their Argentinian relatives in Spanish. When she thinks back to her first few months in Canada, she can scarcely recognise herself. In some ways, she wishes she weren’t so far away from her family, but at the same time, she feels that she’s learned many things which she never would have experienced had she stayed in Argentina. She wants to give her daughters the chance to travel and experience life in other countries as soon as she can, although of course she hopes they don’t move too far away!",8,"8. Sarah thought that living in Canada ________.
A. would be more difficult than it was
B. would be easier than it was
C. would be very different to living in Argentina
D. would make her feel homesick",B,5
1,"Sarah’s Life in Canada

Sarah is 36 years old, and she lives in Canada. She has two young daughters. She works two days a week as a teacher. Her husband’s name is Nathan, and he’s a sales manager. Nathan’s job is very busy, so he often comes home late. At weekends, they often go driving or walking in the countryside.
Nathan was born in Canada, but Sarah wasn’t. She was born in Argentina, and she moved to Canada when she was 26. When she was growing up, she was really interested in English. At first, she thought it was difficult, but when she finished school, she could already speak quite fluently and understand almost everything she heard or read. She spent a lot of time listening to songs and watching TV shows and films in English.

After she graduated from university, she decided to train as an English teacher. The certificate she needed was quite expensive, and competition for places was intense, but she was determined to do it—she simply couldn’t imagine doing anything else. She finished the course with a distinction, which was the highest grade possible. Soon, she found work as a teaching assistant in a local primary school. She enjoyed the work, although it was often challenging—the children were not always well-disciplined, and she didn’t think that the classroom teacher had enough understanding of teaching methods.

When she first went to Canada, she never would have imagined that she would end up staying there. It was supposed to be a short-term placement in a high school. She thought that she would be able to see a different part of the world and gain some useful experience, which could help her to find a better teaching position when she came back to Argentina. At first, she found living overseas much more difficult than she had expected. She felt homesick, and she had problems getting used to everything which was different in Canada—the interpersonal culture, the climate, the food… For the first three months she was there, she spent most of her free time in her room, dreaming of going back to Argentina and seeing her family again.

Over time, she adjusted to life in Canada, and even started to enjoy herself a bit more. One day, she met Nathan at a party. She liked his sense of humour, and how kind he was, but she was reluctant to get involved, knowing that she was planning to leave in the near future. When her placement finished, he convinced her to apply for a permanent job in another school. She told herself that she would give it one more year and see how things went.

Now, Sarah is settled, although she still misses Argentina. She tries to make it back at least yearly, and she is bringing up her daughters to be bilingual, so that they can talk to their Argentinian relatives in Spanish. When she thinks back to her first few months in Canada, she can scarcely recognise herself. In some ways, she wishes she weren’t so far away from her family, but at the same time, she feels that she’s learned many things which she never would have experienced had she stayed in Argentina. She wants to give her daughters the chance to travel and experience life in other countries as soon as she can, although of course she hopes they don’t move too far away!",9,"9. Because of Nathan, Sarah initially decided to stay in Canada ________.
A.  until Nathan asked her to marry him
B. for a few more months
C. for another year
D. forever",C,5
1,"Sarah’s Life in Canada

Sarah is 36 years old, and she lives in Canada. She has two young daughters. She works two days a week as a teacher. Her husband’s name is Nathan, and he’s a sales manager. Nathan’s job is very busy, so he often comes home late. At weekends, they often go driving or walking in the countryside.
Nathan was born in Canada, but Sarah wasn’t. She was born in Argentina, and she moved to Canada when she was 26. When she was growing up, she was really interested in English. At first, she thought it was difficult, but when she finished school, she could already speak quite fluently and understand almost everything she heard or read. She spent a lot of time listening to songs and watching TV shows and films in English.

After she graduated from university, she decided to train as an English teacher. The certificate she needed was quite expensive, and competition for places was intense, but she was determined to do it—she simply couldn’t imagine doing anything else. She finished the course with a distinction, which was the highest grade possible. Soon, she found work as a teaching assistant in a local primary school. She enjoyed the work, although it was often challenging—the children were not always well-disciplined, and she didn’t think that the classroom teacher had enough understanding of teaching methods.

When she first went to Canada, she never would have imagined that she would end up staying there. It was supposed to be a short-term placement in a high school. She thought that she would be able to see a different part of the world and gain some useful experience, which could help her to find a better teaching position when she came back to Argentina. At first, she found living overseas much more difficult than she had expected. She felt homesick, and she had problems getting used to everything which was different in Canada—the interpersonal culture, the climate, the food… For the first three months she was there, she spent most of her free time in her room, dreaming of going back to Argentina and seeing her family again.

Over time, she adjusted to life in Canada, and even started to enjoy herself a bit more. One day, she met Nathan at a party. She liked his sense of humour, and how kind he was, but she was reluctant to get involved, knowing that she was planning to leave in the near future. When her placement finished, he convinced her to apply for a permanent job in another school. She told herself that she would give it one more year and see how things went.

Now, Sarah is settled, although she still misses Argentina. She tries to make it back at least yearly, and she is bringing up her daughters to be bilingual, so that they can talk to their Argentinian relatives in Spanish. When she thinks back to her first few months in Canada, she can scarcely recognise herself. In some ways, she wishes she weren’t so far away from her family, but at the same time, she feels that she’s learned many things which she never would have experienced had she stayed in Argentina. She wants to give her daughters the chance to travel and experience life in other countries as soon as she can, although of course she hopes they don’t move too far away!",10,"10. It took Sarah ________ to get used to living in Canada. 
A.  several months
B. several years
C. about one month
D. a few weeks",A,5
