word,pronunciation,position,Definition,Topic
appetizer ,/ˈæpɪˌtaɪzər/,noun,"food served before the main course - For our appetizers we'll have spring rolls and fish cakes, please.",Food
aroma ,/əˈroʊmə/,noun,"a nice smell, especially from food, wine, coffee, etc. - I love the aroma of freshly-baked bread.",Food
bake ,/beɪk/,verb,to cook in an oven - Have you ever tried baking a cake?,Food
bland ,/blænd/,adjective,having little taste; tasteless - Most people think British food is bland.,Food
course ,/kɔrs/,noun,"one part of a meal - French meals usually have three courses; the hors d’oeuvre, the entrée and the dessert.",Food
cuisine ,/kwɪˈziːn/,noun,a country or region's style of cooking - There's more to Italian cuisine than pizza and pasta.,Food
cutlery  ,/ˈkʌtləri/,noun,"also silverware: knives, forks, and spoons used for eating - We only use our best cutlery on special occasions.",Food
dairy product ,/ˈdɛri ˈprɒdʌkt/,noun,"a food made from milk, like butter, cheese, yoghurt, etc. - Dairy products are becoming more popular in Asia.",Food
delicious ,/dɪˈlɪʃəs/,adjective,tasting very good - The food in this restaurant is really delicious.,Food
dessert ,/dɪˈzɜːrt/,noun,sweet food eaten at the end of a meal - Have you ever tried Middle-eastern desserts like baklava?,Food
diet ,/ˈdaɪət/,noun,all the foods a person or animal usually eats - My doctor said a vegetarian diet rich in protein is best.,Food
dish ,/dɪʃ/,noun,1. a deep plate for cooking or serving food - I baked the pie in a special pie dish. 2. food prepared and cooked in a particular way - What's your favourite French dish?,Food
entrée ,/ˈɒntreɪ/,noun,1. the main course of a meal 2. a course before the main course (Br English) - What did you order for your entrée?,Food
fast food ,/fæst fuːd/,noun,"quickly served food like burgers, French fries, fried chicken, etc. - I only get fast food if I don't have time to cook.",Food
flavour ,/ˈfleɪvər/,or flavor in US spelling,noun): the taste of food or drink - Japanese people think how food looks is as important as the flavour.,Food
fry ,/fraɪ/,verb,to cook something in hot oil or fat - Heat oil in a pan and fry the chopped onions for five minutes.,Food
grain ,/ɡreɪn/,noun,"seeds used as food like wheat, rice, lentils, etc. - Grains like wheat and rye are used to make different kinds of bread.",Food
grill ,/ɡrɪl/,verb,to cook something just above or below a heat source - Grilling a fish is better than frying it.,Food
heart disease ,/hɑːrt dɪˈziːz/,noun,disease caused by damage to the heart or nearby blood vessels - Eating fatty food increases your risk of developing heart disease.,Food
ingredients ,/ɪnˈɡriːdiənts/,noun,all the foods used to make a dish or meal - What ingredients do we need to make spaghetti sauce?,Food
junk food ,/dʒʌŋk fuːd/,noun,"foods and food products that are unhealthy because of all the fat, salt or sugar they contain - People who love junk food soon get fat and unhealthy.",Food
kitchenware ,/ˈkɪtʃɪnˌwɛər/,noun,"things used for preparing food like knives, spoons, pots, dishes, etc. - Our kitchen cupboards are full of kitchenware we hardly ever use.",Food
menu ,/ˈmɛnjuː/,noun,"the list of foods and drinks served in a restaurant, café, pub, etc. - Let's check the menu before deciding whether to eat here.",Food
nutritious ,/nuˈtrɪʃəs/,adjective,having nourishing substances we need in order to be healthy - Thai food's nutritious as well as being delicious.,Food
obesity ,/əˈbiːsɪti/,noun,the unhealthy condition of being very fat or overweight - Obesity wasn't a serious problem here until Western companies opened fast food outlets.,Food
poultry ,/ˈpoʊltri/,noun,"Birds that people eat, like chickens, ducks, geese, etc - Factory farms keep poultry in tiny cages and the birds never see the outside world.",Food
recipe ,/ˈrɛsɪpi/,noun,instructions for cooking a dish or a meal - My mum has a great recipe for chocolate pudding.,Food
seafood ,/ˈsiːfʊd/,noun,"anything from the sea that can be eaten - If you eat vegetarian food plus fish and seafood, but not meat or poultry, you're a pescatarian/pescetarian.",Food
tableware ,/ˈteɪbəlwɛər/,noun,"things used for serving or eating a meal such as knives, forks, plates, glasses, etc. - Most of our wedding gifts were tableware of one sort or another.",Food
tasteless ,/ˈteɪstləs/,adjective,"having very little flavour - Vegetarian food can be a bit tasteless, but it can also be really delicious.",Food
tasty ,/ˈteɪsti/,adjective,having a good taste; delicious - Bob thinks Indian food is tastier than Chinese food.,Food
bulb ,/bʌlb/,noun,a round underground part of certain plants like onion and garlic plants - Lots of flowers like tulips and daffodils are grown from bulbs.,Vegetables 
